date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:09	667/667	---M--	200	added ('OK')	image/png	etag:%2257694b62-29b%22	https://www.rodesk.com/assets//images/favicons/apple-touch-icon-76x76.png	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/favicons/apple-touch-icon-76x76.png	(from https://www.rodesk.com/)
14:05:09	828/828	---M--	200	added ('OK')	image/png	etag:%2257694b62-33c%22	https://www.rodesk.com/assets//images/favicons/apple-touch-icon-114x114.png	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/favicons/apple-touch-icon-114x114.png	(from https://www.rodesk.com/)
14:05:10	853/853	---M--	200	added ('OK')	image/png	etag:%2257694b62-355%22	https://www.rodesk.com/assets//images/favicons/apple-touch-icon-120x120.png	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/favicons/apple-touch-icon-120x120.png	(from https://www.rodesk.com/)
14:05:10	1075/1075	---M--	200	added ('OK')	image/png	etag:%2257694b62-433%22	https://www.rodesk.com/assets//images/favicons/apple-touch-icon-144x144.png	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/favicons/apple-touch-icon-144x144.png	(from https://www.rodesk.com/)
14:05:10	1104/1104	---M--	200	added ('OK')	image/png	etag:%2257694b62-450%22	https://www.rodesk.com/assets//images/favicons/apple-touch-icon-152x152.png	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/favicons/apple-touch-icon-152x152.png	(from https://www.rodesk.com/)
14:05:10	1298/1298	---M--	200	added ('OK')	image/png	etag:%2257694b62-512%22	https://www.rodesk.com/assets//images/favicons/apple-touch-icon-180x180.png	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/favicons/apple-touch-icon-180x180.png	(from https://www.rodesk.com/)
14:05:11	409/409	---M--	200	added ('OK')	image/png	etag:%2257694b63-199%22	https://www.rodesk.com/assets//images/favicons/favicon-32x32.png	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/favicons/favicon-32x32.png	(from https://www.rodesk.com/)
14:05:11	1374/1374	---M--	200	added ('OK')	image/png	etag:%2257694b62-55e%22	https://www.rodesk.com/assets//images/favicons/favicon-194x194.png	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/favicons/favicon-194x194.png	(from https://www.rodesk.com/)
14:05:11	763/763	---M--	200	added ('OK')	image/png	etag:%2257694b63-2fb%22	https://www.rodesk.com/assets//images/favicons/favicon-96x96.png	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/favicons/favicon-96x96.png	(from https://www.rodesk.com/)
14:05:11	1333/1333	---M--	200	added ('OK')	image/png	etag:%2257694b62-535%22	https://www.rodesk.com/assets//images/favicons/android-chrome-192x192.png	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/favicons/android-chrome-192x192.png	(from https://www.rodesk.com/)
14:05:12	281/281	---M--	200	added ('OK')	image/png	etag:%2257694b62-119%22	https://www.rodesk.com/assets//images/favicons/favicon-16x16.png	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/favicons/favicon-16x16.png	(from https://www.rodesk.com/)
14:05:12	722/722	---M--	200	added ('OK')	image/svg+xml	etag:%2257694b63-2d2%22	https://www.rodesk.com/assets//images/favicons/pinned_icon.svg	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/favicons/pinned_icon.svg	(from https://www.rodesk.com/)
14:05:12	13297/13297	---MCZ	200	added ('OK')	application/json	etag:W/%22PSA-ShtpXrFALS%22	https://www.rodesk.com/manifest.json	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/manifest.json	(from https://www.rodesk.com/)
14:05:13	4470/4470	---M--	200	added ('OK')	image/svg+xml	etag:%2257694b63-1176%22	https://www.rodesk.com/assets//images/logo.svg	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/logo.svg	(from https://www.rodesk.com/)
14:05:13	20359/20359	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jun%202016%2021:05:12%20GMT	https://www.rodesk.com/culture/	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/culture/index.html	(from https://www.rodesk.com/)
14:05:13	96628/96628	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257694b65-17974%22	https://www.rodesk.com/assets/scripts/jquery-e735354d9b.js?ver=1.11.0	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/scripts/jquery-e735354d9ba4e6.js	(from https://www.rodesk.com/)
14:05:14	16709/16709	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jun%202016%2021:05:13%20GMT	https://www.rodesk.com/approach/	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/approach/index.html	(from https://www.rodesk.com/)
14:05:14	14372/14372	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jun%202016%2021:05:13%20GMT	https://www.rodesk.com/cases/	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/cases/index.html	(from https://www.rodesk.com/)
14:05:14	17646/17646	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jun%202016%2021:05:14%20GMT	https://www.rodesk.com/people/	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/people/index.html	(from https://www.rodesk.com/)
14:05:15	20824/20824	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jun%202016%2021:05:14%20GMT	https://www.rodesk.com/jobs/	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/jobs/index.html	(from https://www.rodesk.com/)
14:05:15	17483/17483	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jun%202016%2021:05:14%20GMT	https://www.rodesk.com/journal/	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/journal/index.html	(from https://www.rodesk.com/)
14:05:15	20156/20156	---M--	200	added ('OK')	image/svg+xml	etag:%2257694b62-4ebc%22	https://www.rodesk.com/assets/images/assets.svg	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/assets.svg	(from https://www.rodesk.com/assets/styles/style-94de7dceaf.css?ver=1.0)
14:05:15	15304/15304	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jun%202016%2021:05:15%20GMT	https://www.rodesk.com/contact/	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/contact/index.html	(from https://www.rodesk.com/)
14:05:15	31840/31840	---M--	200	added ('OK')	image/png	etag:%2257694b62-7c60%22	https://www.rodesk.com/assets/images/assets.png	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/images/assets.png	(from https://www.rodesk.com/assets/styles/style-94de7dceaf.css?ver=1.0)
14:05:16	21715/21715	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jun%202016%2021:05:15%20GMT	https://www.rodesk.com/cases/service-design-network/	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/cases/service-design-network/index.html	(from https://www.rodesk.com/)
14:05:16	21450/21450	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jun%202016%2021:05:15%20GMT	https://www.rodesk.com/cases/jumbo-position-list/	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/cases/jumbo-position-list/index.html	(from https://www.rodesk.com/)
14:05:16	21020/21020	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jun%202016%2021:05:15%20GMT	https://www.rodesk.com/cases/bloc/	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/cases/bloc/index.html	(from https://www.rodesk.com/)
14:05:16	1455/1455	---MCZ	200	added ('OK')	text/css	etag:W/%2257694b65-5af%22	https://www.rodesk.com/assets/styles/print-76eac31bbd.css?ver=1.0	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/assets/styles/print-76eac31bbd5152.css	(from https://www.rodesk.com/culture/)
14:05:16	21379/21379	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jun%202016%2021:05:16%20GMT	https://www.rodesk.com/cases/dutch-windwheel/	/Users/gautam/Desktop/Tech/Flash/RoDesk/www.rodesk.com/cases/dutch-windwheel/index.html	(from https://www.rodesk.com/)
